----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/BARRACHINA/I_0.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
10	7.99386800e-05	5.49131232e-03	-9.43425072e+00	6.86940580e+01
11	-2.02461400e-05	4.92440029e-03	nan	-2.43226624e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_10.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30724707e-01	7.27637308e-03	-1.85456819e-01	8.75906666e-03
2	5.34689666e-01	1.86976989e-02	-6.26068763e-01	3.49692543e-02
3	2.89273643e-01	2.33421172e-02	-1.24038218e+00	8.06921673e-02
4	1.34946483e-01	2.07266235e-02	-2.00287700e+00	1.53591432e-01
5	5.47418656e-02	1.51728926e-02	-2.90512650e+00	2.77171639e-01
6	1.93922211e-02	1.03163234e-02	-3.94288327e+00	5.31982561e-01
7	5.99833142e-03	7.53917607e-03	-5.11627395e+00	1.25687888e+00
8	1.65933088e-03	6.30092343e-03	-6.40134084e+00	3.79726762e+00
9	3.53118400e-04	5.73371172e-03	-7.94870715e+00	1.62373632e+01
10	4.81157200e-05	5.46117071e-03	-9.94190162e+00	1.13500758e+02
11	-1.28446600e-05	4.89871770e-03	nan	-3.81381656e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_11.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30656446e-01	7.30369083e-03	-1.85538992e-01	8.79267339e-03
2	5.34523939e-01	1.87285882e-02	-6.26378762e-01	3.50378847e-02
3	2.89097949e-01	2.34305180e-02	-1.24098972e+00	8.10469881e-02
4	1.34746904e-01	2.08578962e-02	-2.00435704e+00	1.54793138e-01
5	5.46229459e-02	1.53158327e-02	-2.90730123e+00	2.80391920e-01
6	1.93374695e-02	1.04296411e-02	-3.94571064e+00	5.39348807e-01
7	6.00278134e-03	7.56200625e-03	-5.11553236e+00	1.25975041e+00
8	1.64655592e-03	6.30545869e-03	-6.40906949e+00	3.82948348e+00
9	4.11288620e-04	5.74612659e-03	-7.79621535e+00	1.39710323e+01
10	1.10155880e-04	5.45404312e-03	-9.11361410e+00	4.95120471e+01
11	1.61201800e-05	4.87664802e-03	-1.10354387e+01	3.02518211e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_12.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30680549e-01	7.29143205e-03	-1.85509976e-01	8.77766075e-03
2	5.34566569e-01	1.86787595e-02	-6.26299011e-01	3.49418773e-02
3	2.89127891e-01	2.33201057e-02	-1.24088616e+00	8.06567145e-02
4	1.34811056e-01	2.07337622e-02	-2.00388107e+00	1.53798678e-01
5	5.46155817e-02	1.51580204e-02	-2.90743606e+00	2.77540217e-01
6	1.93054351e-02	1.02948264e-02	-3.94736861e+00	5.33260519e-01
7	5.96042882e-03	7.54860094e-03	-5.12261285e+00	1.26645266e+00
8	1.67762516e-03	6.29024483e-03	-6.39037608e+00	3.74949362e+00
9	4.27011440e-04	5.72676934e-03	-7.75869975e+00	1.34112785e+01
10	6.76544400e-05	5.44545390e-03	-9.60109757e+00	8.04892317e+01
11	9.43400000e-08	4.91780907e-03	-1.61763606e+01	5.21285676e+04

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_13.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30741529e-01	7.27338283e-03	-1.85436569e-01	8.75528979e-03
2	5.34766792e-01	1.86850556e-02	-6.25924531e-01	3.49405683e-02
3	2.89339753e-01	2.33420348e-02	-1.24015366e+00	8.06734456e-02
4	1.34939338e-01	2.07533194e-02	-2.00292995e+00	1.53797400e-01
5	5.47380282e-02	1.51711164e-02	-2.90519660e+00	2.77158621e-01
6	1.93630162e-02	1.03173507e-02	-3.94439041e+00	5.32837993e-01
7	6.01289360e-03	7.52630916e-03	-5.11384918e+00	1.25169505e+00
8	1.70869308e-03	6.29635842e-03	-6.37202648e+00	3.68489724e+00
9	3.74395020e-04	5.76695304e-03	-7.89019911e+00	1.54033914e+01
10	7.97790600e-05	5.44285641e-03	-9.43624949e+00	6.82241231e+01
11	1.13669800e-05	4.92953373e-03	-1.13847979e+01	4.33671365e+02

----------- Resultados_simulacion/MAIN/0.72/EVOLUCION/JOEL/I_14.txt -----------
N_variable	Media_variable	Err_variable	Log(variable)	Err_variable/Media_variable
1	8.30650054e-01	7.28775519e-03	-1.85546687e-01	8.77355651e-03
2	5.34586862e-01	1.86925378e-02	-6.26261052e-01	3.49663248e-02
3	2.89226268e-01	2.33386423e-02	-1.24054596e+00	8.06933701e-02
4	1.34910091e-01	2.07204433e-02	-2.00314672e+00	1.53587053e-01
5	5.47214724e-02	1.52066075e-02	-2.90549910e+00	2.77891052e-01
6	1.93772453e-02	1.03583914e-02	-3.94365582e+00	5.34564702e-01
