# tiempo	energia_plaqueta	w10	magnetizacion
676	0.816647	-0.006173	0.001109
677	0.822531	0.004630	-0.004726
678	0.828029	-0.010706	-0.003954
679	0.831694	-0.003665	-0.002990
680	0.832465	0.004340	-0.003569
681	0.835745	0.004823	-0.006414
682	0.834298	0.001640	-0.004292
683	0.829186	-0.005112	-0.002267
684	0.829282	-0.007041	-0.001543
685	0.830247	0.001736	-0.003665
686	0.828800	-0.003086	-0.003762
687	0.828511	-0.005401	-0.001688
688	0.827353	-0.002701	-0.002267
689	0.825714	0.005015	-0.001591
690	0.828607	0.002315	-0.004340
691	0.828704	0.003954	-0.006269
692	0.824556	-0.001061	-0.002942
693	0.830343	0.002218	-0.004244
694	0.830633	-0.003954	-0.010176
695	0.836323	-0.008295	-0.010706
696	0.833912	-0.004437	-0.010899
697	0.834780	-0.011285	-0.002411
698	0.844329	-0.004437	-0.002508
699	0.829282	-0.001929	-0.002411
700	0.831115	0.001640	0.001013
701	0.826292	0.002025	-0.001206
702	0.815876	-0.009645	-0.002604
703	0.821373	0.000482	-0.006366
704	0.823013	0.000579	-0.007089
705	0.818769	-0.013117	-0.001302
706	0.820120	-0.002122	-0.001833
707	0.816165	-0.007909	-0.004485
708	0.811439	-0.003954	-0.005835
709	0.817323	0.006269	-0.008777
710	0.819541	-0.000675	-0.005691
711	0.817515	-0.000193	-0.004919
712	0.816262	0.000675	-0.003376
713	0.819155	-0.004726	-0.003135
714	0.816551	-0.015432	-0.002459
715	0.817805	0.005401	-0.003858
716	0.819734	0.011863	-0.002990
717	0.818287	0.001929	-0.005642
718	0.826389	-0.007427	-0.001302
719	0.829765	0.012056	-0.000675
720	0.834298	0.001833	-0.000096
721	0.831887	0.002218	0.006125
722	0.833719	0.002025	0.006848
723	0.823495	0.004919	0.003424
724	0.822531	-0.006944	0.002990
725	0.827064	-0.009934	0.003183
726	0.832658	0.006269	0.003086
727	0.832562	-0.001157	0.001399
728	0.832851	0.007620	0.002894
729	0.831501	-0.002218	-0.001254
730	0.834298	0.006076	0.001447
731	0.830826	0.009549	-0.004147
732	0.833816	-0.004244	-0.001350
733	0.832562	-0.000772	0.000627
734	0.832272	-0.000965	-0.001833
735	0.824363	-0.000386	-0.004389
736	0.821663	-0.009066	-0.005449
737	0.828029	-0.002218	-0.001495
738	0.828221	0.003183	-0.002508
739	0.829090	-0.002508	-0.001302
740	0.827353	0.002411	-0.001109
741	0.823785	-0.007909	0.001254
742	0.825231	-0.005401	0.002363
743	0.821663	0.003183	-0.000868
744	0.817805	-0.003376	-0.000772
745	0.816937	-0.002604	-0.000289
746	0.822531	-0.003472	-0.000530
747	0.819348	0.004630	-0.000627
748	0.820023	0.002218	0.003279
749	0.819637	-0.005305	0.003569
750	0.817805	0.006462	0.006462
751	0.817708	0.005787	0.005305
752	0.822917	0.004244	0.002508
753	0.823785	0.010995	-0.002025
754	0.829572	-0.001254	-0.001640
755	0.828414	-0.000482	0.001109
756	0.830536	0.004919	-0.000579
757	0.830922	0.000289	0.001591
758	0.828607	0.000096	0.001013
759	0.827739	0.004147	0.002363
760	0.818962	-0.002218	0.003279
761	0.819734	-0.001640	0.002459
762	0.819348	-0.007909	-0.000675
763	0.825810	-0.001929	0.000048
764	0.826292	0.002797	0.001495
765	0.826003	-0.002315	0.001061
